Character_ID,Name,Status,Gender,Age,Height,Weight,Race,Affiliation,Is Hashira,Breathing_Style,use Sward,Special_Abilities,First_Appearance,Last_Appearance,Allies,Enemies,Personality,Voice_Actor_Japanese,Voice_Actor_English,Role
12,Muichiro Tokito,Deceased,Male,14,164 cm,50 kg,Human,Demon Slayer Corps,yes,Mist Breathing,yes,"Exceptional swordsmanship, Enhanced reflexes, High-speed combat",Manga Chapter 45,Manga Chapter 205,"Tanjiro Kamado, Hashira",Demons,"Calm, Forgetful, Detached, Innocent",Kenshō Ono,Zach Aguilar,Supporting Protagonist
13,Shinobu Kocho,Deceased,Female,18,151 cm,41 kg,Human,Demon Slayer Corps,yes,Insect Breathing,yes,"Mastery of poison, Enhanced agility, Exceptional swordsmanship",Manga Chapter 23,Manga Chapter 201,"Tanjiro Kamado, Kanao Tsuyuri, Hashira",Demons,"Calm, Polite, Intelligent, Strategic",Saori Hayami,Brianna Knickerbocker,Supporting Protagonist
14,Kyojuro Rengoku,Deceased,Male,20,177 cm,72 kg,Human,Demon Slayer Corps,yes,Flame Breathing,yes,"Exceptional strength, Flame Breathing techniques, Exceptional combat skills",Manga Chapter 44,Manga Chapter 200,"Tanjiro Kamado, Hashira",Demons,"Passionate, Courageous, Kind, Determined",Satoshi Hino,Robert McCollum,Supporting Protagonist
15,Kanae Kocho,Deceased,Female,19,159 cm,45 kg,Human,Demon Slayer Corps,yes,Flower Breathing,yes,"Exceptional swordsmanship, Healing knowledge, Tactical combat skills",Manga Chapter 23,Manga Chapter 201,"Tanjiro Kamado, Hashira",Demons,"Kind, Gentle, Compassionate, Strong-willed",Romi Park,Brianna Knickerbocker,Supporting Protagonist
16,Tengen Uzui,Alive,Male,21,198 cm,90 kg,Human,Demon Slayer Corps,yes,Sound Breathing,yes,"Superhuman strength, Enhanced agility, Exceptional combat skills, Flashy techniques",Manga Chapter 57,Manga Chapter 202,"Tanjiro Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira",Demons,"Flashy, Confident, Loyal, Strategic",Junichi Suwabe,Jason Marnocha,Supporting Protagonist
17,Kagaya Ubuyashiki,Deceased,Male,42,172 cm,58 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Exceptional leadership, Strategic mind, Inspirational presence",Manga Chapter 44,Manga Chapter 205,"Hashira, Tanjiro Kamado, Nezuko Kamado","Muzan Kibutsuji, Demons","Kind, Calm, Wise, Compassionate",Takehito Koyasu,Ray Chase,Supporting Protagonist
18,Amane Ubuyashiki,Alive,Female,17,158 cm,48 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Leadership support, Calm demeanor, Insightful",Manga Chapter 44,Manga Chapter 202,"Kagaya Ubuyashiki, Hashira, Tanjiro Kamado","Muzan Kibutsuji, Demons","Kind, Gentle, Caring, Calm",Nao Toyama,Erica Mendez,Supporting Protagonist
19,Hinaki Ubuyashiki,Alive,Female,19,160 cm,50 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Supportive role, Insightful, Calm",Manga Chapter 44,Manga Chapter 203,"Kagaya Ubuyashiki, Hashira, Tanjiro Kamado","Muzan Kibutsuji, Demons","Kind, Gentle, Caring, Observant",Nao Toyama,Erica Mendez,Supporting Protagonist
20,Nichika Ubuyashiki,Alive,Female,15,155 cm,46 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Supportive role, Observant, Calm",Manga Chapter 44,Manga Chapter 204,"Kagaya Ubuyashiki, Hashira, Tanjiro Kamado","Muzan Kibutsuji, Demons","Kind, Gentle, Caring, Observant",Nao Toyama,Erica Mendez,Supporting Protagonist
21,Kiriya Ubuyashiki,Alive,Male,16,165 cm,52 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Supportive role, Observant, Calm",Manga Chapter 44,Manga Chapter 205,"Kagaya Ubuyashiki, Hashira, Tanjiro Kamado","Muzan Kibutsuji, Demons","Kind, Gentle, Caring, Observant",Nao Toyama,Erica Mendez,Supporting Protagonist
22,Kanata Ubuyashiki,Alive,Male,14,150 cm,45 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Supportive role, Observant, Calm",Manga Chapter 44,Manga Chapter 206,"Kagaya Ubuyashiki, Hashira, Tanjiro Kamado","Muzan Kibutsuji, Demons","Kind, Gentle, Caring, Observant",Nao Toyama,Erica Mendez,Supporting Protagonist
23,Kuina Ubuyashiki,Alive,Female,12,145 cm,40 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Supportive role, Observant, Calm",Manga Chapter 44,Manga Chapter 207,"Kagaya Ubuyashiki, Hashira, Tanjiro Kamado","Muzan Kibutsuji, Demons","Kind, Gentle, Caring, Observant",Nao Toyama,Erica Mendez,Supporting Protagonist
24,Muzan Kibutsuji,Deceased,Male,2000,184 cm,75 kg,Demon,Not Demon Slayer Corps,no,Not have Breathing,no,"Superhuman strength, Immortality, Regeneration, Blood Demon Art, Shapeshifting",Manga Chapter 1,Manga Chapter 205,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira","Demon Slayer Corps, Tanjiro Kamado, Hashira","Manipulative, Ruthless, Cunning, Charismatic",Toshihiko Seki,Todd Haberkorn,Antagonist
25,Tamayo,Alive,Female,100,160 cm,50 kg,Demon (turned healer),Not Demon Slayer Corps,no,Not have Breathing,no,"Healing, Medical expertise, Blood Demon Art, Strategic intelligence",Manga Chapter 19,Manga Chapter 205,"Yushiro, Tanjiro Kamado","Muzan Kibutsuji, Demons","Calm, Wise, Compassionate, Strategic",Yuki Kaida,Laura Stahl,Supporting Protagonist
26,Yushiro,Alive,Male,100,158 cm,50 kg,Demon,Not Demon Slayer Corps,no,Not have Breathing,no,"Blood Demon Art, Enhanced strength, Shapeshifting, Loyalty to Tamayo",Manga Chapter 19,Manga Chapter 205,Tamayo,"Muzan Kibutsuji, Demons","Loyal, Calm, Observant, Protective",Nobuhiko Okamoto,Michael Johnston,Supporting Protagonist
27,Kokushibo,Deceased,Male,500,208 cm,93 kg,Demon,Not Demon Slayer Corps,no,Not have Breathing,no,"Moon Breathing techniques, Immortality, Superhuman strength, Exceptional combat skills",Manga Chapter 66,Manga Chapter 203,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira","Demon Slayer Corps, Tanjiro Kamado","Prideful, Ruthless, Calm, Skilled",Tomokazu Sugita,Matthew Mercer,Antagonist
28,Doma,Deceased,Male,136,195 cm,86 kg,Demon,Not Demon Slayer Corps,no,Not have Breathing,no,"Ice Manipulation, Blood Demon Art, Immortality, Superhuman abilities",Manga Chapter 101,Manga Chapter 199,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira","Demon Slayer Corps, Tanjiro Kamado","Charismatic, Sadistic, Calm, Manipulative",Tomokazu Sugita,Zach Aguilar,Antagonist
29,Akaza,Deceased,Male,20,173 cm,74 kg,Demon,Not Demon Slayer Corps,no,Not have Breathing,no,"Martial arts mastery, Superhuman strength, Regeneration, Blood Demon Art",Manga Chapter 66,Manga Chapter 198,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira","Demon Slayer Corps, Tanjiro Kamado","Prideful, Ruthless, Proud, Loyal to Muzan",Kensho Ono,Greg Chun,Antagonist
30,Hantengu,Deceased,Male,200,170 cm,null,Demon,Not Demon Slayer Corps,no,Not have Breathing,no,"Blood Demon Art, Multiple clones with independent personalities, Superhuman abilities",Manga Chapter 102,Manga Chapter 198,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira","Demon Slayer Corps, Tanjiro Kamado","Cunning, Fearful of strong opponents, Calculative",K?ki Uchiyama,Zach Aguilar,Antagonist
31,Gyokko,Deceased,Male,200,180 cm,null,Demon,Not Demon Slayer Corps,no,Not have Breathing,no,"Blood Demon Art, Creation of grotesque pots and monsters, Superhuman abilities",Manga Chapter 102,Manga Chapter 198,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira","Demon Slayer Corps, Tanjiro Kamado","Obsessive, Artistic, Cunning, Sadistic",Rikiya Koyama,Matthew Mercer,Antagonist
32,Gyutaro,Deceased,Male,45,175 cm,60 kg,Demon,Not Demon Slayer Corps,no,Not have Breathing,no,"Blood Demon Art, Poisonous blades, Regeneration, Enhanced agility and strength",Manga Chapter 90,Manga Chapter 200,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira","Demon Slayer Corps, Tanjiro Kamado","Aggressive, Protective of sister, Sadistic, Ruthless",Takuya Eguchi,Zach Aguilar,Antagonist
33,Daki,Deceased,Female,20,172 cm,50 kg,Demon,Not Demon Slayer Corps,no,Not have Breathing,no,"Blood Demon Art, Obi manipulation, Regeneration, Enhanced agility and speed",Manga Chapter 90,Manga Chapter 200,Gyutaro,"Demon Slayer Corps, Tanjiro Kamado","Arrogant, Prideful, Sadistic, Protective of brother",Akari Kito,Abby Trott,Antagonist
34,Enmu,Deceased,Male,200,168 cm,62 kg,Demon,Not Demon Slayer Corps,no,Not have Breathing,no,"Blood Demon Art, Sleep manipulation, Regeneration, Shapeshifting",Manga Chapter 82,Manga Chapter 105,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira","Demon Slayer Corps, Tanjiro Kamado","Cunning, Sadistic, Manipulative, Arrogant",Takahiro Sakurai,Zach Aguilar,Antagonist
35,Rokuro,Deceased,Male,15,160 cm,65 kg,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Enhanced combat skills, Swordsmanship",Manga Chapter 5,Manga Chapter 7,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira",Demons,"Courageous, Loyal, Determined",Taiten Kusunoki,Ray Chase,Supporting Character
36,Wakuraba,Deceased,Male,15,158 cm,60 kg,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Basic swordsmanship, Enhanced reflexes",Manga Chapter 5,Manga Chapter 7,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira",Demons,"Brave, Loyal, Determined",Kenta Miyake,Lucien Dodge,Supporting Character
37,Mukago,Deceased,Male,14,155 cm,null,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Basic sword skills, Agility",Manga Chapter 6,Manga Chapter 7,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira",Demons,"Loyal, Brave, Determined",Kana Ueda,Ryan Bartley,Supporting Character
38,Rui,Deceased,Male,14,157 cm,45 kg,Demon,Not Demon Slayer Corps,no,Not have Breathing,no,"Blood Demon Art, Spider Thread manipulation, Superhuman strength and regeneration",Manga Chapter 19,Manga Chapter 25,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira","Demon Slayer Corps, Tanjiro Kamado","Cold, Arrogant, Proud, Emotionally conflicted",Natsuki Hanae,Zach Aguilar,Antagonist
39,Kamanue,Deceased,Male,15,160 cm,null,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Basic swordsmanship, Agility",Manga Chapter 6,Manga Chapter 8,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira",Demons,"Loyal, Brave, Determined",Kenji Nojima,Kellen Goff,Supporting Character
40,Kyogai,Deceased,Male,22,180 cm,70 kg,Demon,Not Demon Slayer Corps,no,Not have Breathing,no,"Blood Demon Art, Manipulation of drums to attack, Superhuman strength and speed",Manga Chapter 15,Manga Chapter 20,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira","Demon Slayer Corps, Tanjiro Kamado","Aggressive, Easily angered, Proud",Shin-ichiro Miki,Todd Haberkorn,Antagonist
41,Sabito,Deceased,Male,13,160 cm,72 kg,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Exceptional swordsmanship, Mastery of Water Breathing",Manga Chapter 7,Manga Chapter 15,Makomo,Demons,"Serious, Disciplined, Determined",K?ki Uchiyama,Zach Aguilar,Supporting Character
42,Makomo,Deceased,Female,13,158 cm,null,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Exceptional swordsmanship, Mastery of Water Breathing",Manga Chapter 7,Manga Chapter 15,Sabito,Demons,"Kind, Gentle, Loyal",Nao Toyama,Brianna Knickerbocker,Supporting Character
43,Aoi Kanzaki,Alive,Female,16,158 cm,45 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Healing skills, Support in missions, Agility",Manga Chapter 8,Manga Chapter 54,"Tanjiro Kamado, Nezuko Kamado",Demons,"Kind, Caring, Responsible",Nao Toyama,Brianna Knickerbocker,Supporting Character
44,Sumi Nakahara,Alive,Female,16,157 cm,44 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Support skills, Assists in missions, Agility",Manga Chapter 8,Manga Chapter 54,"Tanjiro Kamado, Nezuko Kamado, Aoi Kanzaki",Demons,"Cheerful, Supportive, Loyal",Nao Toyama,Brianna Knickerbocker,Supporting Character
45,Kiyo Terauchi,Alive,Female,17,160 cm,48 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Support and supply skills, Medical aid, Agility",Manga Chapter 10,Manga Chapter 54,"Tanjiro Kamado, Nezuko Kamado, Aoi Kanzaki",Demons,"Kind, Helpful, Responsible",Yuko Natsuyoshi,Shelby Rabara,Supporting Character
46,Naho Takada,Alive,Female,17,159 cm,47 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Support and supply skills, Healing assistance",Manga Chapter 10,Manga Chapter 54,"Tanjiro Kamado, Nezuko Kamado, Aoi Kanzaki",Demons,"Gentle, Supportive, Loyal",Izawa Shiori,Kimberly Woods,Supporting Character
47,Goto,Alive,Male,18,172 cm,60 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Support in missions, Agility, Combat assistance",Manga Chapter 12,Manga Chapter 54,"Tanjiro Kamado, Nezuko Kamado, Aoi Kanzaki",Demons,"Calm, Responsible, Supportive",Ryota Osaka,Brandon McInnis,Supporting Character
48,Masao Maeda,Alive,Male,16,165 cm,55 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Support and supply, Agility, Minor combat skills",Manga Chapter 12,Manga Chapter 54,"Tanjiro Kamado, Nezuko Kamado, Aoi Kanzaki",Demons,"Helpful, Loyal, Cheerful",Nobunaga Shimazaki,Brian Timothy Anderson,Supporting Character
49,Hotaru Haganezuka,Alive,Male,37,170 cm,70 kg,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Master swordsmith, Forging and repairing Nichirin swords, Passionate craftsmanship",Manga Chapter 2,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",,"Hot-headed, Loyal, Passionate",Daisuke Namikawa,Robbie Daymond,Supporting Character
50,Kozo Kanamori,Alive,Male,26,168 cm,65 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Support and logistics for missions, Resource management",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Responsible, Calm, Efficient",Eiji Takemoto,Kyle Hebert,Supporting Character
51,Tecchin Tecchikawahara,Alive,Male,25,167 cm,64 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Support skills, Logistics, Assisting Demon Slayers",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Energetic, Loyal, Helpful",Yusaku Yara,Mike McFarland,Supporting Character
52,Kotetsu,Alive,Male,10,168 cm,63 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Support in missions, Tracking demons, Combat assistance",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Calm, Loyal, Observant",Ayumu Murase,Jeannie Tirado,Supporting Character
53,Tetsumotonaka,Alive,Male,25,169 cm,65 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Mission support, Agility, Combat assistance",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Loyal, Calm, Responsible",Rikiya Yasuda ,Ricco Fajardo,Supporting Character
54,Tetsuido,Alive,Male,38,170 cm,66 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Support in logistics, Combat assistance, Agility",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Reliable, Loyal, Observant",Atsushi Ono,John Eric Bentley,Supporting Character
55,Takeuchi,Alive,Male,28,168 cm,64 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Support skills, Assisting in missions, Combat aid",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Loyal, Calm, Observant",Ayumu Murase,Jeannie Tirado,Supporting Character
56,Nagakura,Alive,Male,,171 cm,67 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Mission support, Combat assistance, Agility",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Loyal, Observant, Responsible",,,Supporting Character
57,Ozaki,Alive,Male,21,169 cm,65 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Support in missions, Combat assistance, Tracking demons",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Loyal, Calm, Observant",Hisako Tojo,Dorothy Elias-Fahn,Supporting Character
58,Murata,Alive,Male,21,172 cm,68 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Support in missions, Combat assistance, Agility",Manga Chapter 4,Manga Chapter 54,"Tanjiro Kamado, Demon Slayer Corps",Demons,"Loyal, Observant, Calm",koki miyata,Khoi Dao,Supporting Character
59,Yoriichi Tsugikuni,Deceased,Male,110,178 cm,65 kg,Human,Not Demon Slayer Corps,no,Sun Breathing,yes,"Exceptional swordsmanship, Demon Slayer Mark, Immense strength",Manga Chapter 16,Manga Chapter 200,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira",Muzan Kibutsuji,"Calm, Focused, Determined",Kazuhiko Inoue,Mick Lauer,Legendary Protagonist
60,Michikatsu Tsugikuni,Deceased,Male,110,180 cm,70 kg,Demon,Not Demon Slayer Corps,no,Moon Breathing,yes,"Immense strength, Demon abilities, Moon Breathing techniques",Manga Chapter 17,Manga Chapter 200,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira","Demon Slayer Corps, Yoriichi Tsugikuni","Prideful, Obsessed, Determined",Ryotaro Okiayu,Jonah Scott,Antagonist
61,Kaburamaru,Alive,Male,10,170 cm,80 kg,Animal (Ninja Dog),Demon Slayer Corps,no,Not have Breathing,no,"Tracking, Assisting in combat, Alert system",Manga Chapter 16,Manga Chapter 200,Yoriichi Tsugikuni,Demons,"Loyal, Alert, Brave",Kenichi Suzumura,Erik Scott Kimerer,Supporting Animal
62,Kotoha Hashibira,Deceased,Female,50,164 cm,90 kg,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Supportive, Caring, Protective of family",Manga Chapter 1,Manga Chapter 1,Inosuke Hashibira,Demons,"Kind, Loving, Supportive",Kenichi Suzumura,Erik Scott Kimerer,Supporting Character
63,Sakonji Urokodaki,Deceased,Male,80,175 cm,70 kg,Human,Demon Slayer Corps,no,Water Breathing,yes,"Expert in Water Breathing, Teaching skills, Combat experience",Manga Chapter 1,Manga Chapter 54,"Tanjiro Kamado, Other Students",Demons,"Wise, Strict, Caring, Patient",Hochu Otsuka,Brook Chalmers,Supporting Mentor
64,Jigoro Kuwajima,Deceased,Male,80,178 cm,72 kg,Human,Demon Slayer Corps,no,Thunder Breathing,yes,"Mastery of Thunder Breathing, Combat expertise",Manga Chapter 21,Manga Chapter 68,"Zenitsu Agatsuma, Other Students",Demons,"Strict, Kind, Wise",Shigeru Chiba,John DeMita,Supporting Mentor
65,Shinjuro Rengoku,Deceased,Male,50,185 cm,85 kg,Human,Demon Slayer Corps,no,Flame Breathing,yes,"Flame Breathing mastery, Exceptional combat skills",Manga Chapter 54,Manga Chapter 71,"Kyojuro Rengoku, Demon Slayer Corps",Demons,"Strict, Temperamental, Caring",Rikiya Koyama,Imari Williams,Supporting Character
66,Ruka Rengoku,Alive,Female,45,160 cm,50 kg,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Supportive, Caring, Nurturing",Manga Chapter 54,Manga Chapter 71,"Kyojuro Rengoku, Shinjuro Rengoku",,"Kind, Gentle, Protective",Megumi Toyoguchi,Suzie Yeung,Supporting Character
67,Senjuro Rengoku,Alive,Male,15,155 cm,48 kg,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Observation skills, Quick learner, Supportive",Manga Chapter 54,Manga Chapter 71,"Kyojuro Rengoku, Ruka Rengoku",,"Curious, Gentle, Caring",Junya Enoki,Zach Aguilar,Supporting Character
68,Kie Kamado,Deceased,Female,,160 cm,50 kg,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Caring, Protective, Nurturing",Manga Chapter 1,Manga Chapter 1,"Tanjiro Kamado, Nezuko Kamado, Other Family Members",,"Kind, Gentle, Loving",Houko Kuwashima,Dorothy Elias?Fahn,Supporting Character
69,Hanako Kamado,Deceased,Female,,150 cm,45 kg,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Caring, Supportive, Protective",Manga Chapter 1,Manga Chapter 1,"Tanjiro Kamado, Nezuko Kamado, Other Family Members",,"Kind, Gentle, Loving",Konomi Kohara,Ryan Bartley,Supporting Character
70,Shigeru Kamado,Deceased,Male,,165 cm,60 kg,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Protective, Caring, Supportive",Manga Chapter 1,Manga Chapter 1,"Tanjiro Kamado, Nezuko Kamado, Other Family Members",,"Kind, Gentle, Responsible",Kaede Hondo,Jessica DiCicco,Supporting Character
71,Takeo Kamado,Deceased,Male,10,168 cm,62 kg,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Caring, Protective, Supportive",Manga Chapter 1,Manga Chapter 1,"Tanjiro Kamado, Nezuko Kamado, Other Family Members",,"Kind, Gentle, Responsible",Yo Taichi,Michelle Ruff,Supporting Character
72,Rokuta Kamado,Deceased,Male,3,150 cm,40 kg,Human,Not Demon Slayer Corps,no,Not have Breathing,no,"Caring, Supportive, Playful",Manga Chapter 1,Manga Chapter 1,"Tanjiro Kamado, Nezuko Kamado, Other Family Members",,"Kind, Gentle, Innocent",Aoi Koga,Philece Sampler,Supporting Character
73,Sumiyoshi,Alive,Male,25,175 cm,65 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Stealth, Support in missions, Observation",Manga Chapter 54,Manga Chapter 100,Demon Slayer Corps Members,Demons,"Loyal, Observant, Calm",Hirofumi Nojima,Howard Wang,Supporting Character
74,Suyako,Alive,Female,23,160 cm,50 kg,Human,Demon Slayer Corps,no,Not have Breathing,no,"Support in missions, Healing, Observation",Manga Chapter 54,Manga Chapter 100,Demon Slayer Corps Members,Demons,"Kind, Caring, Observant",Misato Fukuen,Cristina Vee,Supporting Character
